row_index,token_count,sum_score,mean_score
529,2047,-36.185546875,-0.017677355581338546
530,2047,-39.8662109375,-0.01947543279799707
531,2047,-94.1318359375,-0.04598526425867123
532,1963,-8.596923828125,-0.004379482337302598
533,2047,-42.91650390625,-0.020965561263434292
534,2047,-94.11279296875,-0.04597596139167074
535,2047,-85.654296875,-0.041843818698094774
536,2047,-86.8115234375,-0.04240914676966292
537,2047,-79.6162109375,-0.03889409425378603
538,2047,-99.18603515625,-0.0484543405746214
539,2047,-67.47900390625,-0.03296482848375672
540,2047,-68.934814453125,-0.0336760207391915
542,2047,-116.02783203125,-0.05668189156387396
546,2047,-56.623046875,-0.027661478688324376
547,2047,-80.36767578125,-0.039261199697728386
548,2047,-87.5830078125,-0.04278603215070836
549,2047,-44.7509765625,-0.02186173745114802
550,2047,-60.279541015625,-0.02944774841994382
551,2047,-52.43359375,-0.025614847948216904
